"node_id","name","address","description","latitude","longitude","node_distance","cost"
"?","ИВН-РМС-74-П3","","Поворотная камера",54.18052122567847,45.18861807818895,"?","?"
"?","ИВН-РМС-74-С2","","Стационарная камера",54.18061247938414,45.18669761653425,"?","?"
"?","ИВН-РМС-74-С3","","Стационарная камера",54.18063293277012,45.18681831593992,"?","?"
"?","ИВН-РМС-74-С5","","Стационарная камера",54.17999415285922,45.18661446805474,"?","?"
"?","ИВН-РМС-74-П4","","Поворотная камера",54.17977702836626,45.18660642142769,"?","?"
"?","ИВН-РМС-74-С6","","Стационарная камера",54.17922949195288,45.1856944703626,"?","?"
"?","ИВН-РМС-74-П5","","Поворотная камера",54.17772687616246,45.18570519919852,"?","?"
"?","ИВН-РМС-74-С7","","Стационарная камера",54.17779925472388,45.18577493663292,"?","?"
"?","ИВН-РМС-75-С1","","Стационарная камера",54.18063922599816,45.19091673131422,"?","?"
"?","ИВН-РМС-75-С2","","Стационарная камера",54.18064866601538,45.19130833383041,"?","?"
"?","ИВН-РМС-75-С3","","Стационарная камера",54.18065181268462,45.19146926637131,"?","?"
"?","ИВН-РМС-75-П1","","Поворотная камера",54.18090039910889,45.19193060632185,"?","?"
"?","ИВН-РМС-75-С4","","Стационарная камера",54.18042525158629,45.19246704812485,"?","?"
"?","ИВН-РМС-75-С5","","Стационарная камера",54.18031511723633,45.19253142114108,"?","?"
"?","ИВН-РМС-76-C1","","Стационарная камера",54.17977702824967,45.1927459978624,"?","?"
"?","ИВН-РМС-76-П1","","Поворотная камера",54.18024588984279,45.19347019429642,"?","?"
"?","ИВН-РМС-76-C2","","Стационарная камера",54.18021442278895,45.19284255738692,"?","?"
"?","ИВН-РМС-76-C3","","Стационарная камера",54.1802270095893,45.19303567643582,"?","?"
"?","ИВН-РМС-77-C2","","Стационарная камера",54.17151758021645,45.18678076501169,"?","?"
"?","ИВН-РМС-77-C1","","Стационарная камера",54.17165606432398,45.18679149384775,"?","?"
"?","ИВН-РМС-78-С1","","Стационарная камера",54.18644600298353,45.18181063170682,"?","?"
"?","ИВН-РМС-81-С2","","Стационарная камера",54.18600552839023,45.18196351762062,"?","?"
"?","ИВН-РМС-81-С1","","Стационарная камера",54.18612193998895,45.18205471272713,"?","?"
"?","ИВН-РМС-80-С1","","Стационарная камера",54.18842336112682,45.18303640122642,"?","?"
"?","ИВН-РМС-80-С2","","Стационарная камера",54.18833841690131,45.18300421471827,"?","?"
"?","ИВН-РМС-84-С1","","Стационарная камера",54.18307175298048,45.18495418067187,"?","?"
"?","ИВН-РМС-85-C1","","Стационарная камера",54.18959075998651,45.18343605036906,"?","?"
"?","ИВН-РМС-85-C2","","Стационарная камера",54.1895309861896,45.18344677920539,"?","?"
"?","ИВН-РМС-85-C3","","Стационарная камера",54.18957188410788,45.18354065652095,"?","?"
"?","ИВН-РМС-85-C4","","Стационарная камера",54.18951682925286,45.18354333872992,"?","?"
"?","ИВН-РМС-86-C1","","Стационарная камера",54.22765456231346,45.13690240616984,"?","?"
"?","ИВН-РМС-86-C2","","Стационарная камера",54.22759012913906,45.1370928430099,"?","?"
"?","ИВН-РМС-86-C3","","Стационарная камера",54.22756341291686,45.13733155961224,"?","?"
"?","ИВН-РМС-89-С1","","Стационарная камера",54.18931469927843,45.18583394522805,"?","?"
"?","ИВН-РМС-89-С2","","Стационарная камера",54.1893241373382,45.18573738570363,"?","?"
"?","ИВН-РМС-89-П1","","Поворотная камера",54.18927222812565,45.1856756948963,"?","?"
"?","ИВН-РМС-89-С3","","Стационарная камера",54.18902998433252,45.18569178815038,"?","?"
"?","ИВН-РМС-89-С4","","Стационарная камера",54.18885223310374,45.18567837710531,"?","?"
"?","ИВН-РМС-90-С1","","Стационарная камера",54.22597140890972,45.1209378981128,"?","?"
"?","ИВН-РМС-90-С2","","Стационарная камера",54.22574981216147,45.12116052146105,"?","?"
"?","ИВН-РМС-90-С3","","Стационарная камера",54.22558793577043,45.12074209685471,"?","?"
"?","ИВН-РМС-91-С1","","Стационарная камера",54.16888887521477,45.13154871697552,"?","?"
"?","ИВН-РМС-91-П1","","Поворотная камера",54.16890618685476,45.13196177716382,"?","?"
"?","ИВН-РМС-91-С2","","Стационарная камера",54.168874711129,45.13204760785229,"?","?"
"?","ИВН-РМС-91-С3","","Стационарная камера",54.16874723420981,45.13244189257748,"?","?"
"?","ИВН-РМС-91-С4","","Стационарная камера",54.16859614994274,45.13285227055675,"?","?"
"?","ИВН-РМС-92-С1","","Стационарная камера",54.19586259979955,45.18810461109218,"?","?"
"?","ИВН-РМС-92-С2","","Стационарная камера",54.19586102704037,45.18819044178066,"?","?"
"?","ИВН-РМС-92-С3","","Стационарная камера",54.19589248213215,45.18825213258801,"?","?"
"?","ИВН-РМС-92-П1","","Поворотная камера",54.19649012429439,45.18897901123103,"?","?"
"?","ИВН-РМС-92-П2","","Поворотная камера",54.19532314122873,45.18898437564901,"?","?"
"?","ИВН-РМС-92-С4","","Стационарная камера",54.19696823168987,45.18917749469774,"?","?"
"?","ИВН-РМС-93-С1","","Стационарная камера",54.16342590105975,45.14838645999944,"?","?"
"?","ИВН-РМС-93-П1","","Поворотная камера",54.16352506262027,45.14839987104454,"?","?"
"?","ИВН-РМС-94-С1","","Стационарная камера",54.15999444910967,45.14835695569977,"?","?"
"?","ИВН-РМС-94-С3","","Стационарная камера",54.16003537636654,45.14959613626466,"?","?"
"?","ИВН-РМС-94-С2","","Стационарная камера",54.15972055026312,45.14910797422395,"?","?"
"?","ИВН-РМС-95-С2","","Стационарная камера",54.15540719033461,45.16611854379587,"?","?"
"?","ИВН-РМС-95-С1","","Стационарная камера",54.15548275672524,45.16618291681222,"?","?"
"?","ИВН-РМС-95-С3","","Стационарная камера",54.15531430644332,45.16629020517283,"?","?"
"?","ИВН-РМС-96-С1","","Стационарная камера",54.17656980858089,45.12816528623477,"?","?"
"?","ИВН-РМС-96-С2","","Стационарная камера",54.17657924953135,45.1288546139516,"?","?"
"?","ИВН-РМС-96-П1","","Поворотная камера",54.17623465328598,45.12884120290653,"?","?"
"?","ИВН-РМС-97-С2","","Стационарная камера",54.16118289690293,45.15683005397678,"?","?"
"?","ИВН-РМС-97-П1","","Поворотная камера",54.16104909982788,45.15677909200548,"?","?"
"?","ИВН-РМС-97-С1","","Стационарная камера",54.16142215646011,45.15611658637881,"?","?"
"?","ИВН-РМС-97-С3","","Стационарная камера",54.16085706090744,45.15566329305526,"?","?"
"?","ИВН-РМС-98-С1","","Стационарная камера",54.16132613795147,45.15546212737914,"?","?"
"?","ИВН-РМС-98-П1","","Поворотная камера",54.16163150739627,45.15559623782988,"?","?"
"?","ИВН-РМС-98-С2","","Стационарная камера",54.16202502138489,45.15570889060851,"?","?"
"?","ИВН-РМС-99-С1","","Стационарная камера",54.16063983544929,45.15555332248562,"?","?"
"?","ИВН-РМС-99-П1","","Поворотная камера",54.16062094622833,45.15536020343654,"?","?"
"?","ИВН-РМС-100-С1","","Стационарная камера",54.16186446811795,45.15713046138637,"?","?"
"?","ИВН-РМС-100-П1","","Поворотная камера",54.16184872756507,45.15740404670589,"?","?"
"?","ИВН-РМС-100-С2","","Стационарная камера",54.16168187737718,45.15734503810756,"?","?"
"?","ИВН-РМС-101-С4","","Стационарная камера",54.16038483021589,45.15829722230779,"?","?"
"?","ИВН-РМС-101-П1","","Поворотная камера",54.16039899714987,45.15819529836504,"?","?"
"?","ИВН-РМС-101-С1","","Стационарная камера",54.16045409104732,45.15823016708244,"?","?"
