node_id,object_type,type,telecom-unit_type,frontier,owner,stage,vpn,name,address,description,cam-static,cam-dynamic,cam-bio,cam-all,latitude,longitude,node_distance,cost
УС20,ivn,telecom-unit,?,31,rm,2,,Щит связи для 31 рубежа,"г. Саранск, ул. Ст.Разина, 33",Жилое здание,2,0,0,2,54.18949773326590,45.16693261478450,400,100000
УС05,ivn,telecom-unit,?,32,rm,2,,Щит связи для 32 рубежа,"г. Саранск, ул. Коммунистическая, 10",Жилое здание,3,1,0,4,54.18371970432750,45.19096520755790,1000,250000
УС03,ivn,telecom-unit,?,33,rm,2,,Щит связи для 33 рубежа,"г. Саранск, ул. Коммунистическая, 16",Жилое здание,5,2,0,7,54.18367408093410,45.18869605873130,200,50000
УС09,ivn,telecom-unit,?,34,rm,2,,Щит связи для 34 рубежа,"г. Саранск, пр. Ленина, 1",Жилое здание,3,1,0,4,54.18193091505220,45.18777606103910,352,88000
УС05,ivn,telecom-unit,внутренний,35_36,rm,1,,"Щит связи для 35, 36 рубежей","г. Саранск, пр. Ленина, 13",Жилое здание,5,1,0,6,54.18634824731410,45.1881992743257,300,75000
УС03,ivn,telecom-unit,?,37,rm,3,,Щит связи для 37 рубежа,"г. Саранск, пр. Ленина, 27а",Жилое здание,1,0,0,1,54.19193401277150,45.18894224622270,300,75000
УС03,ivn,telecom-unit,?,37,rm,3,,Щит связи для 37 рубежа,"г. Саранск, пр. Ленина, 31",Жилое здание,2,1,0,3,54.19105946811060,45.18880277135380,300,75000
УС05,ivn,telecom-unit,?,38,rm,2,,Щит связи для 38 рубежа,"г. Саранск, пр. Ленина, 30а",Жилое здание,4,1,0,5,54.19210860479800,45.18774329879260,500,125000
?,ivn,telecom-unit,?,39_2БИО_2БИО-2,rm,3,да,"Щит связи для 39, 2 - БИО и 2 - БИО-2 рубежей","г. Саранск, ул. Вокзальная, 7",Здание ж/д вокзала,9,3,5,17,54.19583148709400,45.19069641091720,0,0
УС20,ivn,telecom-unit,внутренний,40,rm,1,,Щит связи для 40 рубежа,"г. Саранск, ул. Лесная, 2а",Жилое здание,2,0,0,2,54.19118372990610,45.14833091952730,252,63000
УС05,ivn,telecom-unit,внутренний,41,rm,1,,Щит связи для 41 рубежа,"г. Саранск, пр. Ленина, 12",Жилое здание,6,0,0,6,54.18615677056930,45.18721796508440,120,30000
УС20,ivn,telecom-unit,?,42,rm,2,,Щит связи для 42 рубежа,"г. Саранск, пр. 60 лет Октября, 137",Жилое здание,2,0,0,2,54.2232956664219,45.11773534055220,1252,313000
А34,ivn,telecom-unit,внутренний,43_85,rm,1,,"Щит связи для 43, 85 рубежей","г. Саранск, ул. Полежаева, 57",Здание центрального рынка,10,1,0,11,54.18984007990470,45.18359698291400,252,63000
УС05,ivn,telecom-unit,?,44,rm,2,,Щит связи для 44 рубежа,"г. Саранск, ул. Полежаева, 44",Здание Экономического факультета,3,1,0,4,54.18943346073240,45.1801503443298,200,50000
УС20,ivn,telecom-unit,внутренний,46_1БИО,rm,1,,Щит связи для 46 рубежа и 1 - БИО,"г. Саранск, ул. Полежаева, 184",Здание Автовокзала,9,3,2,14,54.19530819923280,45.14042414660970,500,125000
А65,ivn,telecom-unit,внутренний,47,rm,1,,Щит связи для 47 рубежа,"г. Саранск, ул. Полежаева, 113",Здание Детской Республиканской Больницы,6,1,0,7,54.19026556904670,45.17545647855240,300,75000
УС20,ivn,telecom-unit,?,48,rm,2,,Щит связи для 48 рубежа,"г. Саранск, ул. Полежаева, 171",Здание Миграционного содействия,2,0,0,2,54.19038826066720,45.16385056014540,1200,300000
А65,ivn,telecom-unit,внутренний,49,rm,1,,Щит связи для 49 рубежа,"г. Саранск, ул. Полежаева, 159",Жилое здание,2,1,0,3,54.19028444470400,45.16593463654940,300,75000
А65,ivn,telecom-unit,?,50,rm,2,,Щит связи для 50 рубежа,"г. Саранск, ул. Веселовского, 43/1",Жилое здание,3,1,0,4,54.22535926353240,45.12645251985050,1600,400000
А65,ivn,telecom-unit,внутренний,51_62,rm,1,,Щит связи для 51 и 62 рубежей,"г. Саранск, ул. Пролетарская, 83",Жилое здание,5,2,0,7,54.19230094042540,45.17826206918130,400,100000
А15,ivn,telecom-unit,внутренний,53,rm,1,,Щит связи для 53 рубежа,"г. Саранск, ул. Пролетарская, 118",Здание торгового центра,3,1,0,4,54.19336083630600,45.17720259662040,0.252,63
УС13,ivn,telecom-unit,внутренний,54,rm,1,,Щит связи для 54 рубежа,"г. Саранск, ул. Пролетарская, 63",Здание Факультета иностранных языков,3,1,0,4,54.188015942014,45.17765320773440,300,75000
УС05,ivn,telecom-unit,внутренний,56,rm,1,,Щит связи для 56 рубежа,"г. Саранск, ул. Пролетарская, 39",Здание РДК,5,1,0,6,54.18539986846980,45.17781950469390,400,100000
УС03,ivn,telecom-unit,внутренний,57,rm,1,,Щит связи для 57 рубежа,"г. Саранск, ул. Пролетарская, 92а",Жилое здание,3,2,0,5,54.18870650758540,45.17675734992390,0,0
УС03,ivn,telecom-unit,внутренний,59,rm,1,,Щит связи для 59 рубежа,"г. Саранск, ул. Пролетарская, 44а",Жилое здание,2,1,0,3,54.18538728315460,45.17640866275180,252,63000
А15,ivn,telecom-unit,внутренний,60,rm,1,,Щит связи для 60 рубежа,"г. Саранск, ул. Пролетарская, 85",Жилое здание,4,1,0,5,54.19350239209110,45.17864830727760,252,63000
А15,ivn,telecom-unit,внутренний,61,rm,1,,Щит связи для 61 рубежа,"г. Саранск, ул. Федосеенко, 6",Здание Российской Правовой Академии,1,0,0,1,54.19320040503360,45.18461354012790,252,63000
МГУ,ivn,telecom-unit,?,63,rm,2,,Щит связи для 63 рубежа,"г. Саранск, ул. Пролетарская, 79",Жилое здание,4,1,0,5,54.19013321970190,45.17786242003720,300,75000
УС05,ivn,telecom-unit,внутренний,64,rm,1,,Щит связи для 64 рубежа,"г. Саранск, ул. Пролетарская, 87",Жилое здание,3,1,0,4,54.19423375918020,45.17868854041580,0,0
УС05,ivn,telecom-unit,внутренний,65_66,rm,1,,Щит связи для 65 и 66 рубежей,"г. Саранск, ул. Ст. Разина, 17",Жилое здание,3,1,0,4,54.186809391895,45.16641206975550,0,0
УС03,ivn,telecom-unit,внутренний,67_69,rm,1,,Щит связи для 67 и 69 рубежей,"г. Саранск, ул. Ст. Разина, 19",Здание Детской поликлиники №1,4,1,0,5,54.18734424250040,45.16659714217660,200,50000
УС05,ivn,telecom-unit,?,68,rm,2,,Щит связи для 68 рубежа,"г. Саранск, ул. Володарского, 37",Здание Детского сада №112,3,0,0,3,54.18531649160430,45.19147731299930,852,213000
А40,ivn,telecom-unit,внутренний,70,rm,1,,Щит связи для 70 рубежа,"г. Саранск, ул. Советская, 50-1",Жилое здание,4,1,0,5,54.1810152521028,45.17949588532960,352,88000
УС03,ivn,telecom-unit,внутренний,71_72,rm,1,,Щит связи для 71 и 72 рубежей,"г. Саранск, ул. Советская, 47а",Здание Дворца бракосочетания,5,2,0,7,54.1812197835154,45.18349237676170,0,0
УС03,ivn,telecom-unit,?,73,rm,3,,Щит связи для 73 рубежа,"г. Саранск, ул. Т.Бибиной, 34",Жилое здание,2,0,0,2,54.19941114847250,45.25257266993970,600,150000
