id,type,name,address,latitude,longitude
А25,abon,Ку Городского округа Саранск Дирекция коммунального хозяйства и благоустройства,"ул. Терешковой, 5, Саранск, Россия",54.19263,45.178676
А26,abon,Мордовский республиканский объединённый краеведческий музей имени И.Д. Воронина,"Саранская ул., 2, Саранск, Россия",54.177906,45.179782
А27,abon,ГКУ Социальная защита населения по Торбеевскому району Республики Мордовия,"ул. Карла Маркса, 7А, п. г. т. Торбеево, Россия",54.074147,43.245778
А28,abon,ГБУ РМ Комплексный центр социального обслуживания населения,"Советская ул., 65, Саранск, Россия",54.181649,45.175206
А29,abon,ИВВОВ,"ул. Победы 4, Саранск, Россия",54.20731722330630,45.12045138516970
А30,abon,ГКУ Социальная защита населения по Рузаевскому району республики Мордовия,"ул. Ленина, 79, Рузаевка, Россия",54.058542,44.955421
А31,abon,Ростелеком,"Россия, Республика Мордовия, Саранск, улица Кутузова, 11А",54.196509,45.149802
А32,abon,Управление Федеральной службы судебных приставов по Республике Мордовия,"ул. Терешковой, 1, Саранск, Россия",54.192481,45.181509
А33,abon,Прошлый офис ГУП РМ “НПЦ ИНТ”,"Коммунистическая ул., 62, Саранск, Россия",54.184466,45.173785
А34,abon,Управление образования города Саранск Республики Мордовия,"ул. Богдана Хмельницкого, 57, Саранск, Россия",54.187133,45.176078
А35,abon,ЦСЗН по Б.Игнатовскому р-ну,"с. Б. Игнатово, ул. Советская 32",55.013618538654400,45.56392005913510
А36,abon,ЦСЗН по Атюрьевскому р-ну,"с. Атюрьево, ул. Ленина 1",54.32247861870400,43.33853415482270
А37,abon,ГБУЗ Республиканская клиническая больница имени С. В. Каткова,"Советская ул., 79, Саранск, Россия",54.181874,45.172067
А38,abon,ГБУЗ РМ Республиканская клиническая больница № 3 поликлиника,"Ботевградская ул., 21, Саранск, Россия",54.182908,45.171928
А39,abon,Гимназия № 20 имени Героя Советского Союза В. Б. Миронова,"Советская ул., 77, Саранск, Россия",54.18197,45.173528
А40,abon,Администрация Ленинского района городского округа Саранск,"Пролетарская ул., 21, Саранск, Россия",54.180963,45.177165
А41,abon,Республиканский врачебно-физкультурный диспансер,"Ботевградская ул., 25, Саранск, Россия",54.183446,45.17212
А42,abon,Республиканский музейно-архивный комплекс,"Саранская ул., 2, Саранск, Россия",54.17791444053980,45.17997275463070
А43,abon,ГКУ Соцзащита населения по Темниковскому району РМ,"ул. Карла Маркса, 2, Темников, Россия",54.628569,43.203805
А44,abon,Поволжский центр культур финно-угорских народов,"ул. Богдана Хмельницкого, 26, Саранск, Россия",54.185943,45.184135
А45,abon,Гостиница Мордовия,"просп. Ленина, 2, Саранск, Россия",54.182373,45.186284
